103.228.84.0/22,US,,Dallas,
139.5.20.0/23,US,,Dallas,
103.144.160.0/23,US,,Dallas,	
209.92.8.0/21,US,,Dallas,	
209.40.216.0/21,US,,Dallas,
103.149.130.0/23,US,,Dallas,	
103.124.84.0/22,US,,Dallas,
72.63.220.0/22,US,,Boston,
72.63.188.0/22,US,,Boston,
72.63.156.0/22,US,,Boston,
72.63.124.0/22,US,,Boston,
72.63.92.0/22,US,,Boston,
72.63.60.0/22,US,,Boston,
72.63.28.0/22,US,,Boston,
72.63.0.0/22,US,,Boston,
72.63.12.0/22,US,,Dallas,
72.63.68.0/22,US,,Dallas,
72.63.72.0/22,US,,Dallas,
72.63.80.0/22,US,,Dallas,
72.63.100.0/22,US,,Dallas,
72.63.104.0/22,US,,Dallas,
72.63.112.0/22,US,,Dallas,
72.63.116.0/22,US,,Dallas,
72.63.8.0/22,US,,Washington,
72.63.24.0/22,US,,Washington,
72.63.32.0/22,US,,Washington,
72.63.40.0/22,US,,Washington,
72.63.44.0/22,US,,Washington,
72.63.56.0/22,US,,Washington,
72.63.64.0/22,US,,Washington,
72.63.152.0/22,US,,Washington,
